28 Jun 2022,Tue 11:51:06 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_1', 'accuracy': 0.008871540099361249, 'recall': 0.2, 'precision': 0.8017743080198722, 'f1': 0.003517411185367569, 'cm': [[0, 0, 0, 0, 9711], [0, 0, 0, 0, 7458], [0, 0, 0, 0, 2421], [0, 0, 0, 0, 2754], [0, 0, 0, 0, 200]]}
28 Jun 2022,Tue 11:51:15 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_1', 'accuracy': 0.43075762952448543, 'recall': 0.2, 'precision': 0.8861515259048971, 'f1': 0.12042784064486126, 'cm': [[9711, 0, 0, 0, 0], [7458, 0, 0, 0, 0], [2421, 0, 0, 0, 0], [2754, 0, 0, 0, 0], [200, 0, 0, 0, 0]]}
28 Jun 2022,Tue 11:51:24 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_1', 'accuracy': 0.4714336408800568, 'recall': 0.3638155328395844, 'precision': 0.7909598342442653, 'f1': 0.22698743527004628, 'cm': [[8291, 0, 1420, 0, 0], [1472, 0, 5986, 0, 0], [84, 0, 2337, 0, 0], [1178, 0, 1576, 0, 0], [2, 0, 198, 0, 0]]}
28 Jun 2022,Tue 11:51:32 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_1', 'accuracy': 0.4591909155429382, 'recall': 0.36191418997886504, 'precision': 0.7928341693628826, 'f1': 0.22416962938934643, 'cm': [[7954, 0, 1757, 0, 0], [1387, 0, 6071, 0, 0], [23, 0, 2398, 0, 0], [1003, 0, 1751, 0, 0], [0, 0, 200, 0, 0]]}
28 Jun 2022,Tue 11:51:41 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_1', 'accuracy': 0.4955198722498226, 'recall': 0.3687971981338757, 'precision': 0.7828132026828748, 'f1': 0.23201033049266973, 'cm': [[8934, 0, 777, 0, 0], [2477, 0, 4981, 0, 0], [184, 0, 2237, 0, 0], [1671, 0, 1083, 0, 0], [20, 0, 180, 0, 0]]}
28 Jun 2022,Tue 11:51:50 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_1', 'accuracy': 0.5095812633073101, 'recall': 0.37662819804621217, 'precision': 0.7835629274270965, 'f1': 0.23868806818188976, 'cm': [[9230, 0, 481, 0, 0], [2499, 0, 4959, 0, 0], [163, 0, 2258, 0, 0], [2460, 0, 294, 0, 0], [89, 0, 111, 0, 0]]}
28 Jun 2022,Tue 11:51:58 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_1', 'accuracy': 0.5093594748048261, 'recall': 0.37844769603626593, 'precision': 0.7843334351689585, 'f1': 0.238871888679129, 'cm': [[9194, 0, 517, 0, 0], [2337, 0, 5121, 0, 0], [132, 0, 2289, 0, 0], [2458, 0, 296, 0, 0], [89, 0, 111, 0, 0]]}
28 Jun 2022,Tue 11:52:07 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_1', 'accuracy': 0.5115330021291696, 'recall': 0.37914678444978084, 'precision': 0.7846820110870725, 'f1': 0.23977718010471208, 'cm': [[9248, 0, 463, 0, 0], [2364, 0, 5094, 0, 0], [137, 0, 2284, 0, 0], [2492, 0, 262, 0, 0], [90, 0, 110, 0, 0]]}
28 Jun 2022,Tue 11:52:15 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_1', 'accuracy': 0.511444286728176, 'recall': 0.37910559404714467, 'precision': 0.7847154166938164, 'f1': 0.2396992734057676, 'cm': [[9246, 0, 465, 0, 0], [2354, 0, 5104, 0, 0], [137, 0, 2284, 0, 0], [2477, 0, 277, 0, 0], [90, 0, 110, 0, 0]]}
28 Jun 2022,Tue 11:52:24 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_1', 'accuracy': 0.5117104329311568, 'recall': 0.38028342518869684, 'precision': 0.7852675903000558, 'f1': 0.23996397742412592, 'cm': [[9235, 0, 476, 0, 0], [2260, 0, 5198, 0, 0], [120, 0, 2301, 0, 0], [2478, 0, 276, 0, 0], [90, 0, 110, 0, 0]]}
28 Jun 2022,Tue 11:52:33 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_1', 'accuracy': 0.5117547906316536, 'recall': 0.3798078980683003, 'precision': 0.7849780244691018, 'f1': 0.23995320985907304, 'cm': [[9244, 0, 467, 0, 0], [2310, 0, 5148, 0, 0], [128, 0, 2293, 0, 0], [2501, 0, 253, 0, 0], [90, 0, 110, 0, 0]]}
